classe,atributo,tipo
Trecho_Ferroviario,concessionaria,string
Trecho_Ferroviario,pesoMaxSuportTon,real
Trecho_Ferroviario,bitola,integer
Trecho_Ferroviario,eletrificada,integer
Trecho_Ferroviario,nrLinhas,integer
Trecho_Ferroviario,emArruamento,integer
Trecho_Ferroviario,posicaoRelativa,integer
Trecho_Ferroviario,codTrechoFerrov,integer
Trecho_Ferroviario,tipoTrechoFerrov,integer
Cremalheira,situacaoFisica,integer
Cremalheira,operacional,integer
Obstaculo_Navegacao,situacaoEmAgua,integer
Obstaculo_Navegacao,tipoObst,integer
Trecho_Hidroviario,regime,integer
Trecho_Hidroviario,extensaoTrecho,real
Trecho_Hidroviario,caladoMaxSeca,real
Sinalizacao,operacional,integer
Sinalizacao,situacaoFisica,integer
Sinalizacao,tipoSinal,integer
Eclusa,largura,real
Eclusa,extensao,real
Eclusa,desnivel,real
Eclusa,calado,real
Ponto_Hidroviario,relacionado,integer
Atracadouro,administracao,integer
Atracadouro,tipoAtracad,integer
Fundeadouro,administracao,integer
Fundeadouro,destinacaoFundeadouro,integer
Edif_Const_Aeroportuaria,administracao,integer
Edif_Const_Aeroportuaria,tipoEdifAero,integer
Pista_Ponto_Pouso,revestimento,integer
Pista_Ponto_Pouso,operacional,integer
Pista_Ponto_Pouso,situacaoFisica,integer
Pista_Ponto_Pouso,largura,real
Pista_Ponto_Pouso,extensao,real
Pista_Ponto_Pouso,tipoPista,integer
Pista_Ponto_Pouso,usoPista,integer
Pista_Ponto_Pouso,homologacao,integer
Trecho_Duto,matConstr,integer
Trecho_Duto,tipoTrechoDuto,integer
Trecho_Duto,setor,integer
Trecho_Duto,posicaoRelativa,integer
Trecho_Duto,nrDutos,integer
Trecho_Duto,situacaoEspacial,integer
Trecho_Duto,matTransp,integer
Ponto_Duto,relacionado,integer
Local_Critico,tipoLocalCrit,integer
Edif_Energia,tipoEdifEnergia,integer
Torre_Energia,tipoTorre,integer
Torre_Energia,arranjoFases,string
Torre_Comunic,posicaoRelEdific,integer
Trecho_Energia,especie,integer
Trecho_Energia,tensaoEletrica,real
Trecho_Energia,numCircuitos,integer
Trecho_Comunic,matConstr,integer
Trecho_Comunic,tipoTrechoComunic,integer
Ponto_Trecho_Energia,tipoPtoEnergia,integer
Est_Gerad_Energia_Eletr,operacional,integer
Est_Gerad_Energia_Eletr,situacaoFisica,integer
Est_Gerad_Energia_Eletr,tipoEstGerad,integer
Est_Gerad_Energia_Eletr,destEnergElet,integer
Est_Gerad_Energia_Eletr,codigoEstacao,string
Est_Gerad_Energia_Eletr,potenciaOutorgadaKW,real
Est_Gerad_Energia_Eletr,potenciaFiscalizadaKW,real
Termeletrica,tipoCombustivel,integer
Termeletrica,combRenovavel,integer
Termeletrica,tipoMaqTermica,integer
Termeletrica,geracao,integer
Edif_Comunic,modalidade,integer
Edif_Comunic,tipoEdifComunic,integer
Antena_Comunic,posicaoRelEdific,integer
Edif_Abast_Agua,tipoEdifAbast,integer
Dep_Abast_Agua,finalidade,integer
Dep_Abast_Agua,tipoDepAbast,integer
Dep_Abast_Agua,situacaoAgua,integer
Dep_Abast_Agua,construcao,integer
Edif_Saneamento,tipoEdifSaneam,integer
Dep_Saneamento,finalidade,integer
Dep_Saneamento,construcao,integer
Dep_Saneamento,tipoDepSaneam,integer
Dep_Saneamento,residuo,integer
Dep_Saneamento,tipoResiduo,integer
Cemiterio,tipoCemiterio,integer
Cemiterio,denominacaoAssociada,integer
Edif_Constr_Portuaria,administracao,integer
Edif_Constr_Portuaria,tipoEdifPort,integer
Edif_Ensino,tipoClasseCnae,integer
Edif_Religiosa,ensino,integer
Edif_Religiosa,tipoEdifRelig,integer
Edif_Religiosa,religiao,string
Edif_Const_Turistica,ovgd,integer
Edif_Const_Turistica,tipoEdifTurist,integer
Piscina,operacional,integer
Piscina,situacaoFisica,integer
Edif_Const_Lazer,tipoEdifLazer,integer
Campo_Quadra,operacional,integer
Campo_Quadra,situacaoFisica,integer
Campo_Quadra,tipoCampoQuadra,integer
Pista_Competicao,operacional,integer
Pista_Competicao,situacaoFisica,integer
Pista_Competicao,tipoPista,integer
Edif_Pub_Civil,tipoEdif,integer
Edif_Pub_Civil,tipoUsoEdif,integer
Edif_Pub_Militar,tipoEdif,integer
Edif_Pub_Militar,tipoUsoEdif,integer
Edif_Comerc_Serv,finalidade,integer
Edif_Comerc_Serv,tipoEdifComercServ,integer
Deposito_Geral,tipoDepGeral,integer
Deposito_Geral,tipoExposicao,integer
Deposito_Geral,tipoProdutoResiduo,integer
Deposito_Geral,tipoConteudo,integer
Deposito_Geral,unidadeVolume,integer
Deposito_Geral,valorVolume,real
Deposito_Geral,tratamento,integer
Edif_Ext_Mineral,tipoDivisaoCnae,integer
Ext_Mineral,operacional,integer
Ext_Mineral,situacaoFisica,integer
Ext_Mineral,tipoSecaoCnae,integer
Ext_Mineral,tipoProdutoResiduo,integer
Ext_Mineral,tipoExtMin,integer
Ext_Mineral,tipoPocoMina,integer
Ext_Mineral,procExtracao,integer
Ext_Mineral,formaExtracao,integer
Ext_Mineral,atividade,integer
Plataforma,tipoPlataforma,integer
Edif_Industrial,tipoDivisaoCnae,integer
Edif_Industrial,chamine,integer
Area_Agrop_Ext_Veg_Pesca,destinadoA,integer
Edif_Agrop_Ext_Veg_Pesca,tipoEdifAgropec,integer
Equip_Agropec,tipoEquipAgropec,integer
Edif_Saude,tipoClasseCnae,integer
Edif_Saude,nivelAtencao,integer
Edif_Servico_Social,tipoClasseCnae,integer
Pto_Ref_Geod_Topo,proximidade,integer
Pto_Ref_Geod_Topo,tipoPtoRefGeodTopo,integer
Pto_Ref_Geod_Topo,rede,integer
Pto_Ref_Geod_Topo,referencialGrav,integer
Pto_Ref_Geod_Topo,situacaoMarco,integer
Pto_Ref_Geod_Topo,dataVisita,string
Pto_Controle,tipoPtoControle,integer
Pto_Controle,materializado,integer
Pto_Controle,codProjeto,string
Pto_Est_Med_Fenomenos,orgaoEnteResp,string
Pto_Est_Med_Fenomenos,codEstacao,string
Pto_Est_Med_Fenomenos,tipoPtoEstMed,integer
Cidade,tipoCidade,integer
Aglomerado_Rural,tipoAglomerado,integer
Hab_Indigena,isolada,integer
Hab_Indigena,coletiva,integer
Passag_Elevada_Viaduto,tipoPassagViad,integer
Passag_Elevada_Viaduto,gabHorizSup,real
Passag_Elevada_Viaduto,gabVertSup,real
Ponte,tipoPonte,integer
Marco_De_Limite,latitude,real
Marco_De_Limite,longitude,real
Marco_De_Limite,altitudeOrtometrica,real
Marco_De_Limite,sistemaGeodesico,integer
Marco_De_Limite,outraRefPlan,string
Marco_De_Limite,referencialAltim,integer
Marco_De_Limite,outraRefAlt,string
Marco_De_Limite,tipoMarcoLim,integer
Marco_De_Limite,orgResp,string
Delimitacao_Fisica,matConstr,integer
Delimitacao_Fisica,eletrificada,integer
Delimitacao_Fisica,tipoDelimFis,integer
Linha_De_Limite,extensao,real
Linha_De_Limite,coincideComDentroDe,integer
Limite_Politico_Adm,tipoLimPol,integer
Limite_Politico_Adm,obsSituacao,string
Limite_Intra_Munic_Adm,obsSituacao,string
Limite_Intra_Munic_Adm,tipoLimIntraMun,integer
Limite_Operacional,obsSituacao,string
Limite_Operacional,tipoLimOper,integer
Outros_Limites_Oficiais,obsSituacao,string
Outros_Limites_Oficiais,tipoOutLimOfic,integer
Limite_Area_Especial,obsSituacao,string
Limite_Area_Especial,tipoLimAreaEsp,integer
Limite_Particular,obsSituacao,string
Area_De_Litigio,descricao,string
Pais,sigla,string
Pais,codIso3166,string
Unidade_Federacao,sigla,string
Unidade_Federacao,geocodigo,string
Municipio,geocodigo,string
Municipio,anoDeReferencia,string
Distrito,geocodigo,string
Distrito,anoDeReferencia,string
Sub_Distrito,geocodigo,string
Sub_Distrito,anoDeReferencia,string
Regiao_Administrativa,anoDeReferencia,string
Bairro,anoDeReferencia,string
Terra_Publica,classificacao,integer
Area_Uso_Comunitario,tipoAreaUsoComun,integer
Terra_Indigena,nomeTi,string
Terra_Indigena,situacaoJuridica,integer
Terra_Indigena,dataSituacaoJuridica,string
Terra_Indigena,grupoEtnico,string
Terra_Indigena,areaOficialHa,real
Terra_Indigena,perimetroOficial,real
Area_Desenv_Controle,classificacaoTxt,string
Outras_Unid_Protegidas,tipoOutUnidProt,integer
Outras_Unid_Protegidas,historicoModificacao,string
Unidade_Conserv_Nao_SNUC,classificacao,integer
